titleID	fullTitle	year	genres
tt10187208	A Boy Called Christmas	2021	Adventure,Drama,Family
tt10188398	Take Me to Tarzana	2021	Comedy
tt10189338	Quel genio del mio amico	2021	Comedy
tt10189536	Barbarians	2021	Thriller
tt10192704	My True Fairytale	2021	Drama,Mystery,Thriller
tt10193142	Gap Weekend	2021	Comedy
tt10193752	The Real Charlie Chaplin	2021	Documentary
tt10194058	13 Tracks to Frighten Agatha Black	2021	Thriller
tt10195722	Highway One	2021	Drama
tt10196108	Eugénie Grandet	2021	Drama
tt10196480	North by Current	2021	Documentary
tt10196568	On the Divide	2021	Documentary
tt10196620	Shepherd	2021	Horror,Mystery
tt10197632	Woman in Car	2021	Drama
tt10198698	Black Parthenope	2021	Drama
tt10207710	The Gateway	2021	Thriller
tt10214584	Women in Blue	2021	Documentary
tt10215434	Hearts on Fire: Crossfire	2021	Action
tt10216812	Bloody Nun 2: The Curse	2021	Horror
tt10217402	Así Te Vas a Despedir	2021	Drama
tt10217620	Aavartan	2021	Musical
tt10218112	Courageous Warriors Beauty from the Ashes	2021	Documentary
tt10220406	Royal Jelly	2021	Horror,Thriller
tt10221732	Madison Baker Was Here	2021	Comedy,Drama
tt10222148	Silenced as mercury rises	2021	Documentary
tt10223100	The Tenth Lodge	2021	Drama
tt10223850	Knockout Girls	2021	Action,Drama
tt10225926	616 Wilford Lane	2021	Horror
tt10228134	Jolt	2021	Action,Comedy,Crime
tt10229068	Birdie	2021	Drama
tt10229260	Tales from Las Cruces	2021	Action,Horror,Thriller
tt10229984	Recital	2021	Comedy,Drama
tt10230376	Three Pints and a Rabbi	2021	Fantasy,Mystery
tt10230400	Triangle Love	2021	Drama,Romance
tt10230590	Hashtag Blessed: The Movie	2021	Family
tt10230994	Beckett	2021	Action,Crime,Drama
tt10234010	Dark Ditties Presents 'Dad'	2021	Horror
tt10239266	Three Generations: The Women of Hollywood	2021	Documentary
tt10241130	Three Legged Horse	2021	Drama
tt10243676	After Blue	2021	Fantasy,Sci-Fi
tt10245776	The Canyonlands	2021	Horror
tt10247646	The Perfect Mistress V: Happy Ending	2021	Adventure,Drama,Romance
tt10247678	Sensation	2021	Mystery,Sci-Fi,Thriller
tt10254354	Bait Pro	2021	Comedy
tt10258706	I'm Not Special	2021	\N
tt10260844	Queen of Spades	2021	Horror
tt10261794	Spare Me	2021	Comedy,Horror
tt10261964	Jekyll vs. Hyde	2021	Horror
tt10262112	Nobel Peace	2021	Drama
tt10262648	Compartment Number 6	2021	Drama
tt10264286	Damascus Dreams	2021	Documentary
tt10265034	Land	2021	Adventure,Drama
tt10265764	Lucia, Lucia	2021	Adventure,Drama,Romance
tt10268316	Not a Slave	2021	Drama
tt10270250	Dusty to Meet Rusty	2021	Adventure,Drama
tt10271638	What Went Wrong?	2021	\N
tt10274124	Mutiny of the Red Water	2021	Adventure,Animation,Sci-Fi
tt10275546	Aelay	2021	Comedy,Drama
tt10280296	Sardar Udham	2021	Biography,Crime,Drama
tt10282962	Parvaaz: The Journey	2021	Family
tt10284468	Five Stars	2021	Action
tt10285624	La señora no está	2021	Drama
tt10287908	Spring	2021	Drama,Romance
tt10289564	Kalantaka	2021	Thriller
tt10290352	The Bad Poet	2021	Biography,Drama,History
tt10290510	Operación Camarón	2021	Comedy
tt10293406	The Power of the Dog	2021	Drama,Romance,Western
tt10293932	Cinema of Sleep	2021	Mystery,Thriller
tt10294634	Wildfire: The Legend of the Cherokee Ghost Horse	2021	Family
tt10295212	Shershaah	2021	Action,Biography,Drama
tt10295430	Paramapadham Vilayattu	2021	Thriller
tt10298870	La Flamme Rouge	2021	Crime,Drama,Thriller
tt10299282	Creating Giants	2021	Documentary
tt10299780	The Reunited States	2021	Documentary
tt10299902	Baby Money	2021	Thriller
tt10300450	Laabam	2021	Action,Drama
tt10300570	Kadaisi Vivasayi	2021	Comedy,Drama
tt10302826	La métaphysique du berger	2021	Documentary
tt10303148	Wending	2021	\N
tt10303888	The Law of Destiny	2021	Thriller
tt10303994	The Hostage	2021	Drama
tt10306450	The Kindred	2021	Thriller
tt10307724	Madame Claude	2021	Biography,Crime,Drama
tt10308502	An Intrusion	2021	Crime,Drama,Thriller
tt10309902	Chehre	2021	Drama,Mystery,Thriller
tt10310074	True Things	2021	Drama
tt10311018	Brother's Keeper	2021	Drama
tt10313738	Esther & Maude	2021	Drama
tt10313806	Why?	2021	Horror
tt10314548	Heart of Champions	2021	Drama,Sport
tt10315050	Dampyr	2021	Fantasy
tt10317422	Xeneizes	2021	Documentary
tt10318096	Reunion of Champions	2021	Action,Comedy,Drama
tt10322274	Schumacher	2021	Biography,Documentary,Sport
tt10323676	Violence of Action	2021	Action,Thriller
tt10327130	Soul Eclipse	2021	Drama
tt10327252	The Forever Purge	2021	Action,Horror,Thriller
tt10328046	The Final Sacrifice: Directors Cut	2021	Action
tt10329022	Después de Ti	2021	Comedy,Drama
tt10329614	Censor	2021	Horror,Mystery
tt10332588	Finding 'Ohana	2021	Action,Adventure,Comedy
tt10333426	Bliss	2021	Drama,Romance
tt10334438	Becoming Cousteau	2021	Adventure,Biography,Documentary
tt10337974	Dougley	2021	Comedy,Drama
tt10339052	Best Sellers	2021	Comedy,Drama
tt10340460	Si vive una volta sola	2021	Comedy
tt10341034	Black Box	2021	Drama,Mystery,Thriller
tt10341040	Around the World in 80 Days	2021	Adventure,Animation,Comedy
tt10342228	Narco Sub	2021	Action,Crime,Drama
tt10342336	A Song to Kill For	2021	Action
tt10342492	Tales of the Natchez Trace	2021	Drama,History,Western
tt10342730	Spiral	2021	Crime,Drama,Horror
tt10342914	Lair	2021	Horror,Thriller
tt10344404	A Biography of Great Proportions	2021	Biography,Drama
tt10345782	The Catholic School	2021	Drama
tt10346674	Lamya's Poem	2021	Adventure,Animation,Family
tt10350204	Buckley's Chance	2021	Family
tt10355058	Secret Agent Dingledorf and His Trusty Dog Splat	2021	Comedy,Family
tt10358560	Souls: Lost Tapes	2021	Horror,Thriller
tt10358782	The Journey	2021	Action,Animation,Fantasy
tt10360004	Killers Club	2021	Action
tt10360772	My Best Friend Anne Frank	2021	Drama
tt10360860	Things Worth Weeping For	2021	Comedy,Drama
tt10362566	The Exorcism of God	2021	Drama,Horror
tt10363028	Hercules Dark Hero	2021	Action,Adventure,Fantasy
tt10364272	Alienated	2021	Romance,Sci-Fi
tt10365912	Becoming Led Zeppelin	2021	Documentary,Music
tt10366460	CODA	2021	Drama,Music
tt10366514	Eiffel	2021	Biography,Drama,History
tt10366574	Prayers for the Stolen	2021	Drama
tt10367074	Red Sandra	2021	Drama
tt10368680	Below the Fold	2021	Drama,Mystery,Thriller
tt10369252	Are You Happy Now	2021	Comedy,Romance
tt10370042	Rising Wolf	2021	Fantasy,Mystery,Sci-Fi
tt10370308	Ama'ara: The Song of the Whales	2021	Documentary
tt10370710	The Worst Person in the World	2021	Comedy,Drama,Romance
tt10370822	Detective Chinatown 3	2021	Action,Adventure,Comedy
tt10370886	The Storms of Jeremy Thomas	2021	Documentary
tt10373728	Love Bug	2021	Drama
tt10375112	Clodagh	2021	Drama
tt10375264	Vienna	2021	Action
tt10375632	C'est magnifique!	2021	Comedy
tt10375916	Night of the Sicario	2021	Action,Drama,Thriller
tt10376010	Bob Spit: We Do Not Like People	2021	Animation
tt10376078	Other People	2021	Drama
tt10376800	Petite Solange	2021	Drama
tt10376988	60 Minutes to Kill	2021	Action,Crime,Mystery
tt10380900	Petrov's Flu	2021	Comedy,Crime,Drama
tt10381014	The War Below	2021	Drama,History,War
tt10384192	His Name Is Ray	2021	Documentary
tt10384366	A Perfect Vintage	2021	Documentary
tt10384456	Terror Trips	2021	Horror
tt10384534	Silent River	2021	Drama,Sci-Fi
tt10386790	General Admission	2021	Crime,Drama
tt10387302	A Manchester Story	2021	Documentary
tt10387560	Out of Touch	2021	Drama
tt10392128	Attention au départ	2021	Comedy
tt10393074	Amy Tan: Unintended Memoir	2021	Biography,Documentary
tt10393414	King of Shadows	2021	Animation
tt10394176	Tunnel To The Inferno	2021	Drama,Fantasy,Horror
tt10396036	The Great Traveller	2021	Comedy,Drama,Mystery
tt10396450	Karmalink	2021	Drama,Sci-Fi
tt10400028	I Am Zlatan	2021	Biography,Drama,Sport
tt10402574	Who Shot Colosio?	2021	Documentary
tt10402832	Sour	2021	Crime,Horror,Thriller
tt10402836	Three Lives and One Dream	2021	Documentary
tt10402840	The Truth Has Changed	2021	Drama
tt10403572	The Teen Commandments	2021	Comedy
tt10403714	Into the Devil's Reach	2021	Action
tt10405022	The Score	2021	Crime,Music,Romance
tt10405532	Detainee 001	2021	Documentary
tt10406596	You Are Not My Mother	2021	Drama,Horror
tt10409102	Man Under Table	2021	Comedy,Drama,Fantasy
