tconst	averageRating	numVotes
tt0858419	5.6	518
tt0858422	5.4	104
tt0859635	6.1	25666
tt0860907	7.0	13618
tt0862748	5.5	1651
tt0862930	6.8	457
tt0864835	6.8	66836
tt0865557	6.3	90
tt0865561	4.9	703
tt0865911	6.6	13
tt0870154	6.6	150394
tt0871891	5.0	8
tt0873886	6.2	63714
tt0874268	7.5	51
tt0875612	7.1	8
tt0875613	2.7	451
tt0878814	4.5	1612
tt0880569	4.7	340
tt0881320	5.9	55054
tt0882977	6.4	86474
tt0884325	7.2	54
tt0884726	5.1	5956
tt0884732	6.6	73943
tt0887143	2.8	1041
tt0887266	8.4	17
tt0892062	6.1	111
tt0892077	6.2	81
tt0893310	7.3	39
tt0893412	5.5	14881
tt0899154	5.3	354
tt0900387	7.0	25315
tt0902456	3.6	27
tt0903624	7.8	787219
tt0903657	7.4	38196
tt0905372	6.2	128238
tt0906013	2.7	324
tt0906327	7.3	18
tt0906778	6.1	2144
tt0907852	6.2	64
tt0910885	5.1	6476
tt0918520	6.9	15
tt0918553	6.1	36
tt0918940	6.2	171283
tt0920462	4.6	3964
tt0926132	3.9	635
tt0926170	4.5	58
tt0929742	3.1	357
tt0932667	5.3	157
tt0937225	5.5	32
tt0938305	6.7	17065
tt0938330	5.0	62323
tt0945513	7.5	503837
tt0948470	6.9	592188
tt0949872	6.5	13
tt0959306	4.9	2863
tt0960727	4.0	32
tt0961036	7.8	16
tt0961097	6.7	20457
tt0961725	4.7	23
tt0961755	5.0	69
tt0969332	3.4	199
tt0969345	7.1	1820
tt0970179	7.5	315017
tt0972544	6.5	6262
tt0972848	7.7	9
tt0974015	6.1	429778
tt0975645	6.8	74533
tt0977643	5.7	11
tt0978764	6.0	238552
tt0980999	5.9	520
tt0981286	6.3	882
tt0983190	5.0	20
tt0983193	7.3	224857
tt0983250	3.1	246
tt0983946	4.9	44674
tt0984084	5.7	83
tt0986361	4.2	237
tt0990407	5.8	158634
tt0991173	7.4	68
tt0993840	5.8	155888
tt0993842	6.8	195557
tt0993846	8.2	1288317
tt0995845	4.5	4797
tt0995867	5.1	11
tt0995868	7.2	17784
tt0996664	3.7	230
tt0996958	2.2	590
tt0996976	7.0	22
tt0999913	5.8	33804
tt10002654	6.8	999
tt10003008	5.7	25399
tt10003618	7.1	207
tt10003978	7.4	376
tt10003994	7.6	34
tt10004108	4.7	742
tt10004118	6.5	12
tt10004368	7.1	837
tt10004372	9.2	9
tt10004396	5.6	18
tt10004456	8.2	131
tt10004574	4.6	25
tt10004944	4.3	217
tt10005184	7.7	43
tt10005378	6.1	8
tt10005622	4.8	88
tt10005864	6.5	10
tt10006006	5.4	6183
tt10006056	6.2	25
tt10006122	6.1	36
tt10006160	5.0	276
tt10006270	4.9	637
tt10006274	7.6	11
tt10006510	9.4	6
tt10007268	5.5	31
tt10007820	6.2	121
tt10007978	6.0	109
tt10008784	6.5	3635
tt10009030	5.8	2970
tt10009098	7.9	51
tt10009434	5.6	274
tt10009602	7.0	20
tt10009878	3.8	20
tt10009978	4.2	17
tt10010368	7.9	855
tt10010748	8.6	25
tt10010814	9.7	17
tt10011002	7.9	28
tt10011102	7.7	96
tt10011146	7.7	6
tt10011226	7.2	216
tt10011228	5.3	1879
tt10011232	7.3	392
tt10011238	7.4	5
tt10011240	9.0	12
tt10011244	5.9	18
tt10011252	8.4	111
tt10011264	6.9	67
tt10011270	7.6	69
tt10011284	7.5	47
tt10011296	6.9	865
tt10011302	5.7	43
tt10011312	7.8	156
tt10011320	5.7	198
tt10011336	6.4	1472
tt10011342	6.7	46
tt10011362	6.6	62
tt10011402	7.7	151
tt10011412	6.8	889
tt10011448	8.1	2036
tt10011480	7.1	84
tt10011500	7.1	411
tt10011508	7.3	1835
tt10011682	6.5	198
tt10011772	6.3	24
tt10011852	7.2	29
tt10012964	7.9	299
tt10013072	5.4	167
tt10013634	7.4	10
tt10014100	7.4	7
tt10014132	8.1	9
tt10014838	7.3	72
tt10015222	5.7	9
tt10015234	5.9	19
tt10015248	6.6	44
tt10015286	8.2	2622
tt10015418	6.7	35
tt10015432	7.9	544
tt10015644	7.5	23
tt10015812	6.3	241
tt10016152	9.3	27
tt10016180	6.3	83353
tt10016388	6.3	33
tt10016428	5.1	24
tt10016436	6.3	63
tt10016502	5.4	16
tt10016532	6.5	506
tt10016640	7.5	20
tt10017454	6.5	126
tt10017460	4.4	14
tt10017566	5.5	102
tt10017680	5.8	652
tt10017956	7.0	3798
tt10018386	6.2	44
tt10019108	5.6	112
tt10019402	7.1	363
tt10020682	7.5	36
tt10021582	2.6	196
tt10021622	6.8	55
tt10021804	6.1	11
tt10022010	6.5	24
tt10022158	7.5	270
tt10022384	5.6	640
tt10022684	8.0	9
tt10022716	5.9	200
tt10022864	6.3	6
tt10022870	8.3	13
tt10022974	6.9	129
tt10022990	5.5	315
tt10023022	7.1	43
tt10023024	4.7	9835
tt10023080	7.3	301
tt10023150	5.3	476
tt10023172	5.5	256
tt10023274	7.9	17
tt10023286	6.1	2636
tt10023812	6.8	15
tt10024044	8.2	10
tt10024716	6.8	36
tt10025196	4.5	9
tt1002563	5.7	3435
tt1002569	6.4	43
tt10025972	8.4	5
tt10026108	7.1	47
tt10026172	7.9	204
tt10026686	7.9	61
tt10026730	6.9	93
tt10027696	7.2	106
tt10027708	7.4	13
tt10027720	4.8	36
tt10030150	4.8	22
tt10032266	6.7	477
tt10032342	7.8	156
tt10032574	7.2	75
tt10033686	2.8	66
tt10033904	7.4	5
tt10033908	5.8	28
tt10034168	8.0	24
tt10034236	7.2	27
tt10034256	5.7	6
tt10034272	8.0	483
tt10035012	4.9	14
tt10035478	6.5	308
tt10036378	7.2	5
tt10036868	8.9	14
tt10037014	5.9	6094
tt10037542	6.1	35
tt10037700	7.6	155
tt10037872	7.0	9
tt10037934	8.4	22
tt10038028	2.6	53
tt10038128	9.5	6
tt10038660	5.9	69
tt10038826	5.8	10
tt10038830	8.3	29
tt10039014	7.6	9
tt10039338	9.0	27
tt10039344	5.4	31984
tt10039354	5.2	146
tt10039364	8.5	15
tt10039468	6.6	430
tt10039472	8.5	7
tt10039524	5.3	613
tt10039584	7.7	6
tt10039642	8.8	460
tt10040610	6.4	12
tt10040978	3.2	166
tt10041438	6.4	30
tt10041952	7.5	74
tt10042590	5.9	660
tt10042622	6.0	101
tt10042788	7.0	21
tt10042868	9.1	98
tt10043660	5.2	1096
tt10043732	5.6	30
tt10043742	5.8	20
tt10043746	7.1	47
tt10043770	7.0	108
tt10043990	5.2	14
tt10044000	5.6	34
tt10044040	4.8	135
tt10044182	5.5	243
tt10044220	7.6	270
tt10044704	6.3	163
tt10044934	7.7	12
tt10044946	6.0	21
tt10045014	5.0	10
tt10045072	8.2	213
tt10045134	4.2	8
tt10045136	7.0	97
tt10045434	7.0	2044
tt10046208	6.3	32
tt10046236	5.0	456
tt10046522	5.8	32
tt10046694	6.2	198
tt10047356	4.8	12
tt10047958	5.1	4512
tt10048128	8.7	18
tt10048376	5.1	17
tt10048556	3.5	288
tt10049110	7.8	83
tt10049238	7.0	35
tt10049262	7.0	125
tt10049768	6.8	8
tt10049848	2.8	295
tt10050098	6.3	8
tt10050274	5.7	27
tt10050608	6.4	9
tt10050722	7.0	18
tt10050766	7.7	1394
tt10050782	7.1	1246
tt10050816	6.6	18
tt10051088	7.0	174
tt10051320	5.1	185
